"Date","Source","Site.ID","POC","Daily.Mean.PM2.5.Concentration","Units","Daily.AQI.Value","Local.Site.Name","Daily.Obs.Count","Percent.Complete","AQS.Parameter.Code","AQS.Parameter.Description","Method.Code","Method.Description","CBSA.Code","CBSA.Name","State.FIPS.Code","State","County.FIPS.Code","County","Site.Latitude","Site.Longitude"
"01/14/2025","AQS","060590007",3,7.1,"ug/m3 LC",39,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/15/2025","AQS","060590007",3,6.3,"ug/m3 LC",35,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/16/2025","AQS","060590007",3,7.9,"ug/m3 LC",44,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/17/2025","AQS","060590007",3,9,"ug/m3 LC",50,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/18/2025","AQS","060590007",3,13,"ug/m3 LC",58,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/19/2025","AQS","060590007",3,19.9,"ug/m3 LC",71,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/20/2025","AQS","060590007",3,13.3,"ug/m3 LC",59,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/21/2025","AQS","060590007",3,4.3,"ug/m3 LC",24,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/22/2025","AQS","060590007",3,4.6,"ug/m3 LC",26,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/23/2025","AQS","060590007",3,2.3,"ug/m3 LC",13,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/24/2025","AQS","060590007",3,6.3,"ug/m3 LC",35,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/25/2025","AQS","060590007",3,9.2,"ug/m3 LC",51,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/26/2025","AQS","060590007",3,3.5,"ug/m3 LC",19,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/27/2025","AQS","060590007",3,4.9,"ug/m3 LC",27,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/28/2025","AQS","060590007",3,8.7,"ug/m3 LC",48,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/29/2025","AQS","060590007",3,12.1,"ug/m3 LC",57,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/30/2025","AQS","060590007",3,10.9,"ug/m3 LC",54,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/31/2025","AQS","060590007",3,18.6,"ug/m3 LC",69,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/01/2025","AQS","060590007",3,23.6,"ug/m3 LC",78,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/02/2025","AQS","060590007",3,25.1,"ug/m3 LC",81,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/03/2025","AQS","060590007",3,18.7,"ug/m3 LC",69,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/04/2025","AQS","060590007",3,6.2,"ug/m3 LC",34,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/05/2025","AQS","060590007",3,5.5,"ug/m3 LC",31,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/06/2025","AQS","060590007",3,3.1,"ug/m3 LC",17,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/07/2025","AQS","060590007",3,3.6,"ug/m3 LC",20,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/08/2025","AQS","060590007",3,10.1,"ug/m3 LC",53,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/09/2025","AQS","060590007",3,14.5,"ug/m3 LC",61,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/10/2025","AQS","060590007",3,6.8,"ug/m3 LC",38,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/11/2025","AQS","060590007",3,7.8,"ug/m3 LC",43,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/12/2025","AQS","060590007",3,4.4,"ug/m3 LC",24,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/13/2025","AQS","060590007",3,1.8,"ug/m3 LC",10,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/14/2025","AQS","060590007",3,4.4,"ug/m3 LC",24,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/15/2025","AQS","060590007",3,8.9,"ug/m3 LC",49,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/16/2025","AQS","060590007",3,11.5,"ug/m3 LC",55,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/17/2025","AQS","060590007",3,10,"ug/m3 LC",53,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/18/2025","AQS","060590007",3,8.5,"ug/m3 LC",47,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/19/2025","AQS","060590007",3,13.6,"ug/m3 LC",59,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/20/2025","AQS","060590007",3,14,"ug/m3 LC",60,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/21/2025","AQS","060590007",3,15,"ug/m3 LC",62,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/22/2025","AQS","060590007",3,16.3,"ug/m3 LC",64,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/23/2025","AQS","060590007",3,12.7,"ug/m3 LC",58,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/24/2025","AQS","060590007",3,12.9,"ug/m3 LC",58,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/25/2025","AQS","060590007",3,9.2,"ug/m3 LC",51,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/26/2025","AQS","060590007",3,14,"ug/m3 LC",60,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/27/2025","AQS","060590007",3,9.9,"ug/m3 LC",52,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"02/28/2025","AQS","060590007",3,8.4,"ug/m3 LC",47,"Anaheim",1,100,88101,"PM2.5 - Local Conditions",170,"Met One BAM-1020 Mass Monitor w/VSCC",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
"01/01/2025","AQS","060590007",11,54.8,"ug/m3 LC",149,"Anaheim",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",810,"Met One SASS/SuperSASS Teflon",31080,"Los Angeles-Long Beach-Anaheim, CA",6,"California",59,"Orange",33.83062,-117.93845
